mu_bus,Cap,Result
0.1,4,0.300221234719
0.1,6,0.403593784238
0.1,8,0.553306862412
0.1,10,0.659789145407
0.1,12,0.659789145407
0.1,14,0.659789145407
0.1,16,0.659789145407
0.2,4,0.594550463622
0.2,6,0.678488719463
0.2,8,0.7641287389
0.2,10,0.841960281826
0.2,12,0.841960281826
0.2,14,0.841960281826
0.2,16,0.841960281826
0.3,4,0.746941814681
0.3,6,0.802865940299
0.3,8,0.846984392253
0.3,10,0.902651410498
0.3,12,0.902651410498
0.3,14,0.902651410498
0.3,16,0.902651410498
0.4,4,0.819554011222
0.4,6,0.859421059682
0.4,8,0.884728397201
0.4,10,0.928762268155
0.4,12,0.928762268155
0.4,14,0.928762268155
0.4,16,0.928762268155
0.5,4,0.857026241089
0.5,6,0.888965286875
0.5,8,0.90563396026
0.5,10,0.943063486304
0.5,12,0.943063486304
0.5,14,0.943063486304
0.5,16,0.943063486304
0.6,4,0.879400204867
0.6,6,0.907136609376
0.6,8,0.919283080284
0.6,10,0.952305967357
0.6,12,0.952305967357
0.6,14,0.952305967357
0.6,16,0.952305967357
